1.703041642904281616e-01,1.212363541126251221e-01,1.345213875174522400e-02,2.628172747790813446e-03,1.935216486454010010e-01,8.660475164651870728e-02,1.935486495494842529e-02
1.565578132867813110e-01,9.601715952157974243e-02,9.284941479563713074e-03,2.519021043553948402e-03,2.054462283849716187e-01,8.543134480714797974e-02,1.302348729223012924e-02
1.401618272066116333e-01,8.268859237432479858e-02,5.717402789741754532e-03,4.681188147515058517e-03,2.113702744245529175e-01,9.054794162511825562e-02,1.442101132124662399e-02
1.329263746738433838e-01,6.887334585189819336e-02,4.292295780032873154e-03,3.913252148777246475e-03,2.198968976736068726e-01,9.218560904264450073e-02,1.539059728384017944e-02
1.263558119535446167e-01,5.690179765224456787e-02,3.700137371197342873e-03,3.303648438304662704e-03,2.240056544542312622e-01,9.452117234468460083e-02,1.612159423530101776e-02
1.229598075151443481e-01,5.007803067564964294e-02,3.236627671867609024e-03,3.367662895470857620e-03,2.247380912303924561e-01,9.859900921583175659e-02,1.824002712965011597e-02
1.210648417472839355e-01,4.424016177654266357e-02,2.970864530652761459e-03,3.242375096306204796e-03,2.244432717561721802e-01,1.001812964677810669e-01,2.020256780087947845e-02
1.170550584793090820e-01,4.050707072019577026e-02,2.968556480482220650e-03,3.450401825830340385e-03,2.231208682060241699e-01,9.989588707685470581e-02,2.089980244636535645e-02
1.147403120994567871e-01,3.825056552886962891e-02,3.082028590142726898e-03,3.822328755632042885e-03,2.196143716573715210e-01,9.950082749128341675e-02,1.989283040165901184e-02
1.125745698809623718e-01,3.660194948315620422e-02,3.392012091353535652e-03,3.872214583680033684e-03,2.153564989566802979e-01,9.832134097814559937e-02,1.799663528800010681e-02
1.107371151447296143e-01,3.468969091773033142e-02,3.538920078426599503e-03,3.843443235382437706e-03,2.110162377357482910e-01,9.611380845308303833e-02,1.597905345261096954e-02
1.087016165256500244e-01,3.272062912583351135e-02,3.456907812505960464e-03,3.942452836781740189e-03,2.064272463321685791e-01,9.343523532152175903e-02,1.459498144686222076e-02
1.063671633601188660e-01,3.107313811779022217e-02,3.289673710241913795e-03,4.136600531637668610e-03,2.018001526594161987e-01,9.048371016979217529e-02,1.375963818281888962e-02
1.047772839665412903e-01,2.973097749054431915e-02,3.018257673829793930e-03,4.429514054208993912e-03,1.976279318332672119e-01,8.716648072004318237e-02,1.317276246845722198e-02
1.029336676001548767e-01,2.899949438869953156e-02,2.809980651363730431e-03,4.867268726229667664e-03,1.936165839433670044e-01,8.368399739265441895e-02,1.265516411513090134e-02
1.011199131608009338e-01,2.855595014989376068e-02,2.735692076385021210e-03,5.237799603492021561e-03,1.894211918115615845e-01,8.032849431037902832e-02,1.203976478427648544e-02
9.937451034784317017e-02,2.860826067626476288e-02,2.714024856686592102e-03,5.614885594695806503e-03,1.853436380624771118e-01,7.718715071678161621e-02,1.117555517703294754e-02
